Latitude: 66.855837  Longitude: -150.563028
X & Y on Lambert Conformal Conic: -2205037.83 3357324.66
Tile: 14055
Elevation: 354 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S-C. Kao; and B.E. Wilson. 2022. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4 R1. ORNL DAAC; Oak Ridge; Tennessee; USA. https://doi.org/10.3334/ORNLDAAC/2129
year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
1980,99,51381.09,0.00,266.89,57.08,-5.38,-20.16,85.91
1980,100,51839.48,0.00,206.55,57.08,-4.59,-14.66,152.23
1980,101,52298.48,0.00,278.82,57.08,-5.65,-20.94,77.72
1980,102,52758.12,0.00,282.17,57.08,-6.34,-21.65,73.84
1980,103,53218.45,3.18,125.32,60.26,-7.86,-15.32,185.74
1980,104,53679.48,0.99,273.12,61.25,-4.47,-17.96,103.51
1980,105,54141.25,0.00,299.57,61.25,1.63,-13.89,110.97
1980,106,54603.78,0.00,344.85,61.25,2.61,-19.21,61.02
1980,107,55067.11,0.00,336.49,61.25,1.73,-17.55,72.86
1980,108,55531.26,0.00,322.18,61.25,1.00,-15.82,88.47
1980,109,55996.26,0.00,294.54,61.25,1.77,-11.87,120.55
1980,110,56462.14,0.00,288.70,61.25,1.18,-11.72,125.91
1980,111,56928.93,0.00,229.61,61.25,0.56,-8.71,196.56
1980,112,57396.65,0.00,261.94,61.25,0.44,-10.29,155.03
1980,113,57865.33,0.00,234.35,61.00,3.63,-5.40,163.75
1980,114,58335.00,0.00,333.96,61.00,4.81,-10.36,91.77
1980,115,58805.69,0.00,322.97,61.00,5.00,-9.12,101.91
1980,116,59277.43,0.00,276.79,60.89,5.22,-5.73,134.90
1980,117,59750.23,0.00,301.36,60.42,7.42,-4.87,144.67
1980,118,60224.13,0.00,272.94,58.61,8.79,-1.69,186.55
1980,119,60699.15,0.00,272.53,56.81,8.54,-1.73,186.02
1980,120,61175.33,0.00,310.06,55.65,9.04,-3.22,165.30
1980,121,61652.69,0.00,301.10,54.93,7.26,-4.29,151.63
1980,122,62131.25,0.00,310.05,54.40,7.24,-4.74,146.25
1980,123,62611.05,0.00,327.22,53.39,9.44,-3.60,160.31
1980,124,63092.11,0.00,334.88,52.31,9.93,-3.43,162.53
1980,125,63574.47,0.00,350.49,51.41,10.78,-3.86,157.07
1980,126,64058.15,0.00,315.40,49.64,10.34,-1.79,185.20
1980,127,64543.19,0.00,281.79,48.05,7.99,-2.22,178.97
1980,128,65029.63,0.00,291.15,46.47,8.44,-2.23,178.83
1980,129,65517.49,0.00,279.74,44.14,9.53,-0.45,205.72
1980,130,66006.82,0.00,291.72,42.38,8.67,-1.82,184.63
1980,131,66497.66,0.00,296.10,40.24,9.72,-0.89,198.68
1980,132,66990.04,0.00,337.97,38.55,10.93,-1.98,182.35
1980,133,67484.03,0.00,356.67,36.54,13.30,-1.23,193.54
1980,134,67979.66,0.00,325.40,32.98,14.86,2.48,257.72
1980,135,68477.00,0.00,370.25,30.47,15.73,-0.01,212.85
1980,136,68976.12,1.97,312.26,26.92,13.74,2.45,257.07
1980,137,69477.08,0.00,392.62,24.91,16.76,-1.22,193.63
1980,138,69979.96,0.00,285.08,20.22,14.95,5.17,315.49
1980,139,70484.85,0.00,351.61,16.41,16.75,3.07,269.52
1980,140,70991.86,0.00,372.97,13.11,17.55,1.87,246.00
1980,141,71501.10,0.00,344.25,11.01,12.23,-1.01,196.87
1980,142,72012.71,0.00,287.73,8.79,9.30,-0.70,201.72
1980,143,72526.85,6.59,199.51,6.21,9.19,0.13,215.21
1980,144,73043.69,0.00,297.80,3.34,11.26,0.82,226.99
1980,145,73563.46,0.00,303.12,0.00,15.68,2.90,266.16
1980,146,74086.41,0.00,284.53,0.00,20.41,8.68,408.32
1980,147,74612.84,0.00,340.14,0.00,22.39,5.36,320.05
1980,148,75143.12,0.00,272.95,0.00,21.65,10.41,462.17
1980,149,75677.70,0.00,285.06,0.00,20.33,8.31,397.46
1980,150,76217.12,0.00,310.96,0.00,18.00,4.10,291.37
1980,151,76762.06,0.00,351.21,0.00,20.05,0.78,226.27
1980,152,77313.38,9.92,189.85,0.00,15.47,5.22,316.74
1980,153,77872.16,4.94,151.29,0.00,10.66,3.02,317.53
1980,154,78439.84,0.00,251.10,0.00,11.83,1.96,247.65
1980,155,79018.30,2.85,174.30,0.00,15.21,6.23,365.00
1980,156,79610.15,0.00,287.89,0.00,20.00,7.72,380.70
1980,157,80219.06,0.00,268.66,0.00,19.22,8.12,392.07
1980,158,80850.46,1.63,230.38,0.00,14.60,5.69,328.09
1980,159,81512.86,4.32,177.36,0.00,14.38,5.02,389.05
1980,160,82220.76,0.00,292.08,0.00,13.99,1.24,234.34
1980,161,83002.26,0.00,326.31,0.00,17.66,0.92,228.63
1980,162,83925.81,0.00,291.99,0.00,20.36,6.78,355.36
1980,163,85305.28,3.09,199.57,0.00,17.59,5.78,347.40
1980,164,86400.00,2.96,197.76,0.00,16.23,4.38,361.51
1980,165,86400.00,0.00,235.70,0.00,15.03,5.23,343.17
1980,166,86400.00,3.98,176.44,0.00,15.83,5.91,495.57
1980,167,86400.00,3.38,198.19,0.00,18.60,6.99,494.24
1980,168,86400.00,1.93,231.89,0.00,17.57,8.06,489.05
1980,169,86400.00,1.43,320.98,0.00,21.94,4.91,309.50
1980,170,86400.00,4.59,162.00,0.00,18.27,9.41,788.46
1980,171,86400.00,0.00,275.53,0.00,17.77,5.73,406.80
1980,172,86400.00,5.26,158.57,0.00,13.96,5.52,687.23
1980,173,86400.00,6.55,93.79,0.00,9.47,4.81,860.60
1980,174,86400.00,0.00,259.17,0.00,14.19,3.38,476.04
1980,175,86400.00,0.00,293.87,0.00,16.96,3.51,407.75
1980,176,86400.00,0.00,326.70,0.00,21.38,3.29,329.00
1980,177,86400.00,0.00,304.33,0.00,23.92,8.73,494.69
1980,178,86400.00,0.00,301.94,0.00,23.43,8.38,491.62
1980,179,86400.00,0.00,281.48,0.00,23.21,9.96,592.88
1980,180,86400.00,3.72,188.73,0.00,21.05,9.78,852.61
1980,181,86400.00,10.79,187.06,0.00,22.04,10.97,951.39
1980,182,84508.99,2.33,217.15,0.00,24.82,10.62,914.66
1980,183,83442.46,2.61,198.57,0.00,24.20,12.03,1091.78
1980,184,82603.00,0.00,311.08,0.00,24.77,9.05,663.43
1980,185,81862.93,0.00,261.67,0.00,21.32,9.89,840.93
1980,186,81179.96,0.88,236.31,0.00,17.64,7.96,824.81
1980,187,80534.27,0.00,324.15,0.00,21.67,5.11,526.64
1980,188,79914.85,0.00,229.41,0.00,21.96,12.31,1089.23
1980,189,79314.95,5.20,168.63,0.00,21.73,12.16,1268.93
1980,190,78730.11,8.21,155.59,0.00,19.32,10.85,1249.56
1980,191,78157.27,7.83,157.17,0.00,17.99,9.67,1196.76
1980,192,77594.20,0.00,302.01,0.00,20.18,6.54,742.98
1980,193,77039.27,5.60,193.90,0.00,18.83,8.05,1026.82
1980,194,76491.23,4.80,171.77,0.00,18.45,9.30,1170.74
1980,195,75949.12,0.00,282.58,0.00,18.21,6.26,801.59
1980,196,75412.18,0.00,264.36,0.00,18.22,7.34,892.78
1980,197,74879.79,0.00,292.72,0.00,19.13,6.37,793.42
1980,198,74351.47,0.00,276.59,0.00,22.01,9.99,1019.65
1980,199,73826.80,0.00,330.67,0.00,24.00,6.99,747.52
1980,200,73305.47,1.63,334.46,0.00,25.26,7.16,746.59
1980,201,72787.18,0.00,332.80,0.00,24.58,6.57,733.39
1980,202,72271.70,0.00,314.59,0.00,23.52,7.55,819.59
1980,203,71758.84,0.00,294.61,0.00,24.20,9.60,972.38
1980,204,71248.42,0.00,314.23,0.00,23.82,7.25,808.74
1980,205,70740.30,0.00,295.36,0.00,24.73,9.73,983.11
1980,206,70234.36,0.00,285.71,0.00,23.77,9.73,1010.49
1980,207,69730.47,0.00,270.32,0.00,20.46,7.89,941.79
1980,208,69228.55,2.42,192.46,0.00,16.92,5.45,899.79
1980,209,68728.52,7.34,127.22,0.00,15.30,8.42,1103.60
1980,210,68230.29,2.89,144.91,0.00,14.30,6.47,965.68
1980,211,67733.80,3.14,192.54,0.00,15.14,3.94,809.39
1980,212,67238.99,0.00,282.09,0.00,15.44,2.58,712.38
1980,213,66745.81,1.37,250.96,0.00,15.28,4.41,836.80
1980,214,66254.19,4.17,200.07,0.00,16.56,4.61,848.27
1980,215,65764.11,3.36,193.63,0.00,17.09,5.58,907.97
1980,216,65275.51,0.00,287.77,0.00,15.89,2.25,712.46
1980,217,64788.36,0.00,307.16,0.00,15.26,-0.18,591.77
1980,218,64302.62,0.00,329.77,0.00,20.07,0.15,573.25
1980,219,63818.26,6.63,169.39,0.00,18.83,8.51,1109.79
1980,220,63335.24,6.58,166.18,0.00,16.13,6.16,945.15
1980,221,62853.52,2.01,177.39,0.00,17.00,5.94,930.95
1980,222,62373.09,0.00,278.65,0.00,19.80,5.28,888.97
1980,223,61893.91,0.00,258.02,0.00,23.40,9.85,1214.99
1980,224,61415.95,0.00,302.51,0.00,26.05,6.66,950.20
1980,225,60939.18,0.00,295.67,0.00,26.35,7.35,1004.76
1980,226,60463.58,2.34,204.30,0.00,23.17,7.18,1013.54
1980,227,59989.11,5.90,159.23,0.00,17.39,6.70,980.99
1980,228,59515.76,4.36,177.16,0.00,13.80,1.70,690.63
1980,229,59043.49,4.59,127.41,0.00,13.69,5.67,913.40
1980,230,58572.28,3.59,159.65,0.00,14.44,4.01,813.78
1980,231,58102.10,3.44,155.89,0.00,14.20,4.17,822.67
1980,232,57632.92,0.00,224.27,0.00,13.16,2.22,716.76
1980,233,57164.71,0.00,252.99,0.00,12.94,-0.24,600.09
1980,234,56697.46,0.00,268.10,0.00,13.98,-0.95,569.87
1980,235,56231.13,0.00,288.14,0.00,15.36,-2.93,492.19
1980,236,55765.68,0.00,286.44,0.00,15.84,-2.86,494.74
1980,237,55301.11,0.00,278.35,0.00,15.57,-2.46,509.89
1980,238,54837.37,0.00,198.34,0.00,13.78,3.44,781.59
1980,239,54374.44,0.00,170.43,0.00,11.90,3.25,771.11
1980,240,53912.29,0.00,201.17,0.00,12.50,1.66,688.52
1980,241,53450.89,0.00,180.74,0.00,12.16,2.58,735.35
1980,242,52990.21,8.39,125.84,0.00,10.94,2.16,713.31
1980,243,52530.23,0.00,257.22,0.00,13.50,-3.95,456.03
1980,244,52070.91,0.00,213.20,0.00,12.20,-0.41,592.87
1980,245,51612.21,4.95,109.19,0.00,5.51,-2.15,521.44
1980,246,51154.12,2.16,97.25,0.00,1.84,-4.80,427.61
1980,247,50696.60,2.14,101.78,0.00,2.68,-4.29,444.55
1980,248,50239.62,2.43,122.90,0.00,4.66,-3.96,455.58
1980,249,49783.15,0.00,185.65,0.00,6.56,-3.82,460.47
1980,250,49327.15,0.00,236.09,0.00,9.76,-6.93,363.57
1980,251,48871.60,0.00,231.12,0.00,11.28,-5.56,403.76
1980,252,48416.46,0.00,229.85,0.00,12.53,-5.03,420.19
1980,253,47961.71,0.00,231.90,0.00,14.71,-4.82,426.96
1980,254,47507.30,0.00,229.85,0.00,14.36,-5.59,402.62
1980,255,47053.20,0.00,217.61,0.00,15.66,-2.44,510.61
1980,256,46599.39,0.00,212.38,0.00,14.29,-3.36,476.71
1980,257,46145.83,0.00,150.15,0.00,13.23,2.97,755.90
1980,258,45692.49,6.33,98.72,0.00,10.58,1.83,697.00
1980,259,45239.33,5.59,106.05,0.00,10.88,1.06,659.30
1980,260,44786.32,0.00,136.89,0.00,7.64,-1.81,534.67
1980,261,44333.42,0.00,158.67,0.00,8.75,-3.20,482.40
1980,262,43880.62,0.00,145.21,0.00,9.22,-1.68,540.03
1980,263,43427.86,0.00,96.10,0.00,6.74,0.04,612.40
1980,264,42975.11,0.00,101.73,0.00,2.73,-4.32,443.45
1980,265,42522.36,0.00,130.14,0.00,1.25,-8.18,329.88
1980,266,42069.55,0.00,148.64,0.00,0.55,-10.98,264.46
1980,267,41616.66,0.00,168.86,0.00,1.36,-13.88,209.12
1980,268,41163.65,0.00,161.34,0.00,4.08,-10.80,268.36
1980,269,40710.49,0.00,151.13,0.00,4.32,-9.59,295.32
1980,270,40257.14,0.00,139.47,0.00,6.30,-6.54,374.55
1980,271,39803.59,1.66,72.95,0.00,5.07,-0.80,576.28
1980,272,39349.78,0.00,102.70,0.00,2.31,-6.48,376.20
1980,273,38895.68,0.00,81.63,0.00,4.09,-2.75,498.76
1980,274,38441.28,1.72,64.74,0.00,3.40,-1.98,528.17
1980,275,37986.52,0.00,100.30,0.00,4.28,-4.97,422.37
1980,276,37531.39,0.00,84.95,0.00,2.09,-5.69,399.67
1980,277,37075.84,0.00,100.44,0.00,2.51,-7.58,345.55
1980,278,36619.84,0.00,110.81,0.00,2.66,-9.89,288.47
1980,279,36163.38,2.46,49.86,0.00,2.53,-4.18,448.12
1980,280,35706.40,2.50,37.34,0.00,1.59,-3.31,478.35
1980,281,35248.88,5.82,35.76,0.00,0.90,-3.78,461.88
1980,282,34790.79,3.42,43.67,3.42,-2.61,-7.73,341.73
1980,283,34332.11,1.17,104.15,4.58,-4.25,-14.99,190.83
1980,284,33872.79,3.04,60.92,7.63,-4.72,-12.38,236.38
1980,285,33412.81,0.00,62.69,7.63,-3.30,-9.00,309.42
1980,286,32952.13,0.00,90.30,7.63,-3.32,-12.77,229.05
1980,287,32490.74,0.00,95.51,7.63,-1.58,-13.24,220.40
1980,288,32028.59,0.00,97.28,7.63,-1.29,-14.93,191.85
1980,289,31565.67,7.27,60.03,14.90,1.77,-8.24,328.33
1980,290,31101.94,0.00,71.59,14.90,1.63,-7.41,350.25
1980,291,30637.37,0.00,83.85,14.90,-0.86,-14.03,206.50
1980,292,30171.93,0.00,76.51,14.90,0.91,-11.20,259.76
1980,293,29705.60,0.00,68.68,14.90,1.25,-9.83,289.84
1980,294,29238.35,0.00,62.88,14.90,1.68,-8.72,316.28
1980,295,28770.16,0.00,69.69,14.90,2.05,-13.12,222.58
1980,296,28300.98,0.00,60.44,14.90,3.82,-8.71,316.49
1980,297,27830.81,0.00,52.52,14.90,2.56,-7.84,338.71
1980,298,27359.60,0.00,38.05,14.90,0.89,-6.17,385.39
1980,299,26887.34,0.00,43.71,14.90,-0.97,-10.03,285.22
1980,300,26414.00,0.00,38.44,14.90,-1.03,-9.16,305.55
1980,301,25939.54,0.00,32.42,14.90,-2.25,-9.37,300.48
1980,302,25463.94,0.00,37.49,14.90,-3.58,-13.26,220.03
1980,303,24987.18,0.00,27.33,14.90,-7.85,-14.50,198.70
1980,304,24509.23,0.00,30.36,14.90,-6.75,-15.61,181.33
1980,305,24030.06,0.00,23.20,14.90,-7.19,-13.97,207.66
1980,306,23549.63,0.00,28.76,14.90,-9.37,-19.57,129.58
1980,307,23067.93,0.00,24.73,14.90,-13.67,-22.68,98.76
1980,308,22584.92,0.00,21.87,14.90,-10.20,-19.16,134.25
1980,309,22100.56,0.00,18.79,14.90,-9.60,-17.66,152.64
1980,310,21614.83,0.00,21.10,14.90,-8.73,-20.00,124.90
1980,311,21127.69,1.26,16.27,16.16,-6.43,-15.70,180.00
1980,312,20639.10,0.00,7.60,16.16,-6.25,-10.57,273.34
1980,313,20149.03,1.05,15.34,17.20,-8.04,-19.99,125.02
1980,314,19657.43,0.00,12.50,17.20,-16.12,-25.64,75.61
1980,315,19164.25,0.00,10.07,17.20,-13.15,-22.64,99.06
1980,316,18669.45,0.00,9.30,17.20,-10.05,-20.05,124.30
1980,317,18172.97,0.00,8.27,17.20,-9.39,-19.05,135.51
1980,318,17674.76,0.00,7.96,17.20,-9.53,-20.83,116.21
1980,319,17174.73,0.75,5.52,17.96,-11.35,-20.18,122.99
1980,320,16672.83,0.60,4.38,18.55,-9.41,-17.39,156.19
1980,321,16168.96,2.11,3.12,20.66,-4.99,-14.49,198.91
1980,322,15663.03,0.00,3.01,20.66,-10.65,-17.15,159.34
1980,323,15154.92,0.00,2.32,20.66,-12.74,-18.91,137.13
1980,324,14644.52,0.00,2.31,20.66,-11.86,-21.62,108.38
1980,325,14131.67,0.00,1.78,20.66,-13.47,-21.29,111.62
1980,326,13616.21,0.00,1.72,20.66,-13.03,-22.11,103.86
1980,327,13097.94,0.00,1.61,20.66,-15.00,-24.38,84.83
1980,328,12576.63,0.00,1.33,20.66,-12.46,-23.35,92.97
1980,329,12051.99,0.00,0.65,20.66,-8.16,-21.11,113.36
1980,330,11523.69,0.00,0.30,20.66,-9.91,-16.10,174.07
1980,331,10991.33,0.00,0.38,20.66,-9.44,-18.26,144.98
1980,332,10454.42,1.06,0.25,21.73,-7.98,-15.05,189.90
1980,333,9912.34,1.01,0.21,22.74,-9.70,-16.20,172.59
1980,334,9364.35,0.46,0.32,23.19,-13.00,-23.38,92.73
1980,335,8809.47,0.00,0.16,23.19,-15.18,-20.85,116.03
1980,336,8246.46,0.00,0.13,23.19,-17.02,-23.45,92.20
1980,337,7673.69,0.00,0.13,23.19,-15.78,-23.11,95.05
1980,338,7088.94,1.99,0.10,25.18,-14.15,-21.46,110.01
1980,339,6489.14,1.90,0.14,27.08,-14.95,-27.10,66.16
1980,340,5869.87,0.00,0.11,27.08,-21.16,-31.65,43.04
1980,341,5224.38,0.00,0.09,27.08,-27.97,-36.90,25.55
1980,342,4541.71,0.00,0.05,27.08,-31.53,-37.55,23.92
1980,343,3802.12,0.00,0.03,27.08,-32.62,-37.57,23.87
1980,344,2963.55,0.00,0.02,27.08,-32.94,-37.36,24.40
1980,345,1899.54,0.00,0.01,27.08,-31.20,-40.37,17.85
1980,346,0.00,0.00,0.00,27.08,-30.87,-38.30,22.16
1980,347,0.00,0.00,0.00,27.08,-34.86,-41.85,15.27
1980,348,0.00,1.57,0.00,28.65,-28.25,-41.63,15.62
1980,349,0.00,1.65,0.00,30.30,-27.14,-37.32,24.49
1980,350,0.00,0.00,0.00,30.30,-35.10,-41.83,15.29
1980,351,0.00,0.00,0.00,30.30,-38.93,-43.46,12.83
1980,352,0.00,0.00,0.00,30.30,-38.34,-43.14,13.28
1980,353,0.00,0.00,0.00,30.30,-30.16,-40.65,17.33
1980,354,0.00,0.00,0.00,30.30,-26.51,-35.00,30.98
1980,355,0.00,0.00,0.00,30.30,-27.58,-35.23,30.27
1980,356,0.00,0.00,0.00,30.30,-29.41,-34.56,32.35
1980,357,0.00,0.00,0.00,30.30,-30.16,-35.97,28.08
1980,358,0.00,0.00,0.00,30.30,-26.02,-35.06,30.79
1980,359,0.00,0.00,0.00,30.30,-25.31,-33.29,36.66
1980,360,0.00,0.00,0.00,30.30,-27.93,-37.41,24.28
1980,361,0.00,0.00,0.00,30.30,-33.52,-40.15,18.28
1980,362,0.00,0.00,0.00,30.30,-34.91,-40.63,17.38
1980,363,0.00,0.00,0.00,30.30,-36.00,-41.32,16.15
1980,364,1080.63,0.00,0.00,30.30,-34.83,-40.77,17.12
1980,365,2467.33,0.00,0.02,30.30,-27.29,-40.55,17.52
1981,1,3395.92,0.00,0.02,31.71,-5.25,-18.33,144.20
1981,2,4177.62,7.12,0.01,38.83,-0.91,-11.47,254.21
1981,3,4885.65,0.00,0.07,38.83,-6.26,-22.75,98.08
1981,4,5548.13,0.00,0.05,38.83,-19.83,-25.25,78.37
1981,5,6179.59,0.00,0.11,38.83,-15.74,-26.56,69.53
1981,6,6788.54,0.00,0.13,38.83,-5.38,-21.73,107.35
1981,7,7380.42,0.00,0.04,38.83,-5.74,-12.96,225.42
1981,8,7958.91,0.00,0.08,38.83,-5.95,-15.39,184.58
1981,9,8526.61,0.00,0.12,38.83,-2.20,-16.10,174.04
1981,10,9085.41,0.00,0.17,38.83,-6.07,-15.60,181.39
1981,11,9636.74,0.00,0.27,38.83,-8.89,-19.05,135.54
1981,12,10181.70,0.00,0.33,38.83,-12.29,-21.17,112.80
1981,13,10721.13,0.00,0.44,38.83,-4.14,-18.51,141.97
1981,14,11255.71,0.00,0.15,38.83,-0.59,-9.20,304.62
1981,15,11786.01,1.21,0.07,40.04,1.50,-6.62,372.19
